"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"11";"342";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"NC Fellesstart Senior, 10.01.2016";"K17";"34:21.8";"3:15.5";"2016-01-10T13:09:21.8000000";"";""
"12";"335";"Hanne Eggen";"Persson";"F";"NOR";"Vingrom IL / NTG Lillehammer";"NC Fellesstart Senior, 10.01.2016";"K17";"34:36.8";"3:30.5";"2016-01-10T13:09:36.8000000";"";""
"13";"344";"Andrine Håstul";"Flom";"F";"NOR";"Drangedal Idrettslag / Meråker Videregående skole";"NC Fellesstart Senior, 10.01.2016";"K17";"34:38.9";"3:32.6";"2016-01-10T13:09:38.9000000";"";""
"14";"345";"Tora Eid";"Løvås";"F";"NOR";"Trondhjems Skiskyttere";"NC Fellesstart Senior, 10.01.2016";"K17";"34:39.7";"3:33.4";"2016-01-10T13:09:39.7000000";"";""
"15";"350";"Martine";"Lundby";"F";"NOR";"Østre Toten Skilag";"NC Fellesstart Senior, 10.01.2016";"K17";"34:43.3";"3:37.0";"2016-01-10T13:09:43.3000000";"";""
"16";"347";"Maria Munch";"Starheim";"F";"NOR";"Stårheim IL";"NC Fellesstart Senior, 10.01.2016";"K17";"35:02.6";"3:56.3";"2016-01-10T13:10:02.6000000";"";""
"17";"340";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL / NTG Geilo";"NC Fellesstart Senior, 10.01.2016";"K17";"35:22.6";"4:16.3";"2016-01-10T13:10:22.6000000";"";""
"18";"356";"Emma Krogh";"Pedersen";"F";"NOR";"Nordkyn IL / Nordreisa vgs";"NC Fellesstart Senior, 10.01.2016";"K17";"35:29.7";"4:23.4";"2016-01-10T13:10:29.7000000";"";""
"19";"333";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K17";"35:54.6";"4:48.3";"2016-01-10T13:10:54.6000000";"";""
"20";"337";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag / Heimdal VGS";"NC Fellesstart Senior, 10.01.2016";"K17";"36:04.6";"4:58.3";"2016-01-10T13:11:04.6000000";"";""
"21";"343";"Therese Eikrem";"Blindheim";"F";"NOR";"Fossum IF / Wang Toppidrett";"NC Fellesstart Senior, 10.01.2016";"K17";"36:06.0";"4:59.7";"2016-01-10T13:11:06.0000000";"";""
"22";"358";"Hildegunn";"Vekseth";"F";"NOR";"Snåsa Skiskytterlag";"NC Fellesstart Senior, 10.01.2016";"K17";"36:36.8";"5:30.5";"2016-01-10T13:11:36.8000000";"";""
"23";"364";"Stine";"Myhre";"F";"NOR";"Østre Toten Skilag";"NC Fellesstart Senior, 10.01.2016";"K17";"36:47.1";"5:40.8";"2016-01-10T13:13:17.1000000";"";""
"24";"361";"Tuva Eilevsdotter";"Sørbøen";"F";"NOR";"Ål Skiskyttarlag / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"36:48.3";"5:42.0";"2016-01-10T13:13:18.3000000";"";""
"25";"373";"Idunn Raade";"Olsen";"F";"NOR";"Tromsø Skiskytterlag / NTG-T";"NC Fellesstart Senior, 10.01.2016";"K17";"36:52.1";"5:45.8";"2016-01-10T13:13:22.1000000";"";""
"26";"359";"Nora Landerud";"Svingen";"F";"NOR";"Svene IL / NTG Geilo";"NC Fellesstart Senior, 10.01.2016";"K17";"37:49.7";"6:43.4";"2016-01-10T13:12:49.7000000";"";""
"27";"354";"Ingrid";"Nordbotten";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"37:58.9";"6:52.6";"2016-01-10T13:12:58.9000000";"";""
"28";"374";"Kristin";"Mestad";"F";"NOR";"Torridal IL / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"38:03.2";"6:56.9";"2016-01-10T13:14:33.2000000";"";""
"29";"346";"Veronica Berget";"Doseth";"F";"NOR";"Dombås IL";"NC Fellesstart Senior, 10.01.2016";"K17";"38:14.8";"7:08.5";"2016-01-10T13:13:14.8000000";"";""
"30";"360";"Cornelia Zachariassen";"Rørvik";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"38:41.8";"7:35.5";"2016-01-10T13:13:41.8000000";"";""
"31";"349";"Siri";"Aas";"F";"NOR";"Birkenes IL / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"39:17.5";"8:11.2";"2016-01-10T13:14:17.5000000";"";""
"32";"363";"Sara Holm";"Lægreid";"F";"NOR";"Bærums Skiklub / Wang Toppidrett";"NC Fellesstart Senior, 10.01.2016";"K17";"39:22.8";"8:16.5";"2016-01-10T13:15:52.8000000";"";""
